WormBase Id,Public Name,stage_4_cell,stage_E_div,stage_4_AB_div,stage_5_AB_div,stage_6_AB_div,stage_7_AB_div,stage_VE,stage_CS,stage_Mov,stage_L1
WBGene00022246,acp-7,0.65095,1.2387,0.83798,0.60891,0.38984,0.42179,0.41632,1.0566,2.8546,3.8658
WBGene00000049,acr-10,1.901,1.749,1.7825,1.7886,2.0693,2.1468,2.0991,2.1288,2.292,3.3227
WBGene00000050,acr-11,2.0826,1.5852,1.3765,1.4387,1.7622,1.9865,1.9439,2.4852,2.7024,3.0774
WBGene00000051,acr-12,2.7401,2.7013,2.6539,2.6217,2.8138,2.9154,2.8442,3.9984,4.465,4.4798
WBGene00000053,acr-14,1.6182,1.6244,1.3469,1.1359,1.6055,2.0087,2.6261,2.8561,3.8238,3.2491
WBGene00000054,acr-15,0.63294,1.0743,0.71264,0.54715,0.28142,0.40601,2.3995,3.5023,3.9351,3.8784
WBGene00000055,acr-16,2.7166,3.672,3.2215,3.2092,3.1681,2.9357,2.0661,2.5864,2.4374,3.8326
WBGene00000056,acr-17,2.4725,2.538,2.4487,2.6286,2.6776,2.6504,2.0642,1.9228,2.0242,2.5323
WBGene00000057,acr-18,2.0789,1.4839,1.1731,1.234,1.4015,1.2386,1.4861,1.2032,1.3551,2.7218
WBGene00000058,acr-19,1.7204,2.2614,2.1367,1.9478,1.9899,2.1717,2.7035,2.5708,3.0714,3.9429
WBGene00000042,acr-2,0.6956,1.0404,1.0011,0.88782,0.69344,1.558,1.9214,2.1208,2.7622,4.1636
WBGene00000059,acr-20,0.68546,2.5443,2.3655,2.0649,1.957,1.2756,0.42793,1.1456,1.0632,2.2356
WBGene00000060,acr-21,1.0567,2.6943,2.7569,1.9865,0.70984,0.422,0.82932,2.013,1.8799,2.8158
WBGene00000062,acr-23,1.0874,1.6297,1.5911,1.0762,1.0093,1.0288,1.696,2.0489,2.2021,3.9101
WBGene00013534,acr-24,1.2945,1.3669,1.0694,1.1315,1.0764,1.3331,1.3044,1.518,1.6436,2.2636
WBGene00043066,acr-25,0.65585,1.3562,0.80774,0.4976,1.2164,0.37509,0.58813,1.2703,1.4104,3.7138
WBGene00000043,acr-3,0.7131,1.4719,2.2988,1.8994,1.7561,1.2956,0.5194,1.11,1.6204,3.162
WBGene00000044,acr-5,0.82758,1.0367,0.66459,0.50559,0.27468,0.39151,0.37939,0.50796,0.98387,1.2136
WBGene00000045,acr-6,0.69743,1.1589,0.78985,0.62752,0.42171,0.52581,1.6631,1.9789,2.0879,2.4328
WBGene00000046,acr-7,1.4771,1.8873,1.5997,1.598,1.9264,1.6237,2.6205,2.9793,2.9284,3.3393
WBGene00000047,acr-8,0.64082,1.5901,1.6085,1.0285,1.2028,1.8085,2.2241,3.0432,4.5418,4.4677
WBGene00000048,acr-9,1.379,1.1271,0.96913,0.61921,0.38651,0.61328,0.85413,0.99135,1.2841,1.7285
WBGene00018488,acs-1,2.1922,2.4709,2.3869,2.5184,2.2726,2.3999,4.2816,4.6977,4.6981,4.755
WBGene00007082,acs-10,1.8089,3.2086,3.155,3.019,2.5259,1.9626,1.1224,1.4176,1.6004,1.1545
WBGene00018269,acs-11,4.8666,4.7912,4.4326,3.723,3.9984,4.305,4.5137,4.5622,4.3906,4.5762
WBGene00009106,acs-12,2.4513,3.2454,3.2394,3.6654,4.1554,4.5719,4.0684,4.5661,4.5519,4.6316
WBGene00022037,acs-13,4.7694,4.5417,4.0915,3.7795,4.2765,4.3515,4.0429,4.054,3.9936,4.1477
